연번,시설명,주소,비고
1,농업기술센터,충청남도 아산시 염치읍 염성길 70-30 ,1422-42
2,도고면행정복지센터,충청남도 아산시 도고면 도고면로 91,041-537-3691
3,둔포면행정복지센터,충청남도 아산시 둔포면 둔포면로 33,041-537-3651
4,배방읍행정복지센터,충청남도 아산시 배방읍 배방로 38,041-537-3621
5,보건소,충청남도 아산시 번영로 224번길 20,1422-42
6,선장면행정복지센터,충청남도 아산시 선장면 선장로 137,041-537-3681
7,송악면행정복지센터,충청남도 아산시 송악면 송악로 790,041-537-3611
8,수도사업소,충청남도 아산시 시민로 457번길 30,1422-42
9,신창면행정복지센터,충청남도 아산시 신창면 서부북로 631,041-537-3134
10,아산시청,충청남도 아산시 시민로 456,1422-42
11,염치읍행정복지센터,충청남도 아산시 염치읍 염치로 37,041-537-3601
12,영인면행정복지센터,충청남도 아산시 영인면 영인로 78,041-537-3661
13,온양1동행정복지센터,충청남도 아산시 번영로 77,041-537-3711
14,온양2동행정복지센터,충청남도 아산시 중앙로 40,041-537-3721
15,온양3동행정복지센터,충청남도 아산시 삼동로 40번길 15,041-537-3731
16,온양4동행정복지센터,충청남도 아산시 실옥로 220,041-537-3741
17,온양5동행정복지센터,충청남도 아산시 시민로 286,041-537-3751
18,온양6동행정복지센터,충청남도 아산시 외암로 1330,041-537-3761
19,음봉면행정복지센터,충청남도 아산시 음봉면 음봉면로 23-5,041-537-3641
20,인주면행정복지센터,충청남도 아산시 인주면 현대로 1295,041-537-3671
21,탕정면행정복지센터,충청남도 아산시 탕정면 탕정면로 36,041-537-3631
22,평생학습문화센터,충청남도 아산시 남부로 92,1422-42
